"시도명(1)","시점","시군구(1)",관용,관용,관용,관용,자가용,자가용,자가용,자가용
"시도명(1)","시점","시군구(1)",경형,소형,중형,대형,경형,소형,중형,대형
"부산","2020.08","금정구",12,8,71,3,389,2272,5260,406
"부산","2020.08","기장군",13,7,52,0,297,1608,3192,410
"부산","2020.08","남구",3,10,22,0,525,2714,6907,705
"부산","2020.08","동구",8,29,37,1,252,977,2919,231
"부산","2020.08","동래구",5,1,73,0,454,2378,5287,565
"부산","2020.08","부산진구",17,23,87,0,601,5921,10069,923
"부산","2020.08","북구",21,4,48,0,419,2404,5452,517
"부산","2020.08","사상구",28,20,100,0,581,2974,6272,444
"부산","2020.08","사하구",10,2,78,0,542,2902,7823,696
"부산","2020.08","서구",1,6,2,0,227,1664,4013,251
"부산","2020.08","수영구",5,0,98,0,335,1873,4081,504
"부산","2020.08","연제구",4,5,96,36,284,1670,4339,476
"부산","2020.08","영도구",6,4,42,0,220,1573,4294,283
"부산","2020.08","해운대구",13,0,84,1,593,3285,7992,998
"부산","2020.08","부산기타",0,0,0,0,0,10,4,0
"부산","2020.09","금정구",12,8,71,3,384,2277,5302,414
"부산","2020.09","기장군",10,7,55,0,299,1601,3238,413
"부산","2020.09","남구",3,10,22,0,519,2695,6918,703
"부산","2020.09","동구",8,29,37,1,234,974,2930,235
"부산","2020.09","동래구",5,1,73,0,444,2373,5335,576
"부산","2020.09","부산진구",17,23,87,2,604,5906,10093,951
"부산","2020.09","북구",21,4,48,0,414,2404,5467,516
"부산","2020.09","사상구",28,20,100,0,573,2962,6316,453
"부산","2020.09","사하구",10,2,78,0,545,2890,7868,710
"부산","2020.09","서구",1,6,2,0,230,1661,4034,251
"부산","2020.09","수영구",5,0,98,0,343,1890,4115,501
"부산","2020.09","연제구",4,5,95,36,283,1668,4405,485
"부산","2020.09","영도구",6,4,42,0,222,1578,4319,277
"부산","2020.09","해운대구",13,0,84,1,577,3273,8016,1016
"부산","2020.09","부산기타",0,0,0,0,0,10,4,0
"부산","2020.10","금정구",12,8,71,3,380,2271,5288,417
"부산","2020.10","기장군",10,7,55,0,294,1598,3241,418
"부산","2020.10","남구",3,10,22,0,519,2691,6957,733
"부산","2020.10","동구",8,29,37,1,230,966,2942,238
"부산","2020.10","동래구",5,1,73,0,450,2370,5355,574
"부산","2020.10","부산진구",17,23,87,2,611,5906,10105,968
"부산","2020.10","북구",21,4,48,0,407,2403,5481,522
"부산","2020.10","사상구",27,20,100,0,569,2954,6346,468
"부산","2020.10","사하구",10,2,78,0,541,2886,7868,706
"부산","2020.10","서구",1,6,2,0,234,1665,4067,249
"부산","2020.10","수영구",5,0,99,0,335,1889,4127,497
"부산","2020.10","연제구",4,5,95,36,281,1671,4432,496
"부산","2020.10","영도구",6,4,42,0,217,1579,4314,270
"부산","2020.10","해운대구",13,0,84,1,579,3259,8048,1062
"부산","2020.10","부산기타",0,0,0,0,0,10,4,0
"부산","2020.11","금정구",12,8,71,3,375,2267,5266,417
"부산","2020.11","기장군",10,7,56,0,290,1612,3236,419
"부산","2020.11","남구",3,10,22,0,507,2678,6968,738
"부산","2020.11","동구",8,29,37,1,231,972,2925,240
"부산","2020.11","동래구",5,1,73,1,443,2360,5381,581
"부산","2020.11","부산진구",17,23,84,2,612,5905,10116,997
"부산","2020.11","북구",21,4,48,0,404,2397,5477,526
"부산","2020.11","사상구",27,20,100,0,578,2950,6335,465
"부산","2020.11","사하구",10,2,78,0,534,2880,7877,716
"부산","2020.11","서구",1,6,2,0,233,1661,4082,253
"부산","2020.11","수영구",5,0,99,0,337,1887,4141,509
"부산","2020.11","연제구",4,5,95,36,279,1669,4393,502
"부산","2020.11","영도구",6,4,42,0,218,1573,4307,266
"부산","2020.11","해운대구",13,0,84,1,574,3261,8040,1074
"부산","2020.11","부산기타",0,0,0,0,0,10,4,0
"부산","2020.12","금정구",12,8,75,3,371,2271,5244,425
"부산","2020.12","기장군",10,7,56,0,288,1627,3264,428
"부산","2020.12","남구",3,10,21,0,509,2664,6966,730
"부산","2020.12","동구",8,29,38,1,231,968,2930,240
"부산","2020.12","동래구",5,1,72,1,434,2355,5372,590
"부산","2020.12","부산진구",17,23,90,2,602,5908,10096,1006
"부산","2020.12","북구",20,4,48,0,403,2389,5449,525
"부산","2020.12","사상구",27,19,100,0,578,2941,6349,460
"부산","2020.12","사하구",10,2,78,0,534,2876,7850,718
"부산","2020.12","서구",1,6,2,0,235,1663,4099,255
"부산","2020.12","수영구",5,0,99,0,327,1893,4139,514
"부산","2020.12","연제구",4,5,98,36,273,1657,4373,505
"부산","2020.12","영도구",6,4,43,0,215,1568,4330,273
"부산","2020.12","해운대구",13,0,85,1,574,3260,8048,1075
"부산","2020.12","부산기타",0,0,0,0,0,10,4,0
"부산","2021.01","금정구",12,8,75,3,370,2263,5240,422
"부산","2021.01","기장군",10,7,56,0,291,1630,3313,431
"부산","2021.01","남구",3,10,21,0,507,2656,6982,740
"부산","2021.01","동구",8,29,39,1,228,965,2926,245
"부산","2021.01","동래구",5,1,72,0,424,2364,5369,598
"부산","2021.01","부산진구",17,23,90,2,605,5909,10101,1017
"부산","2021.01","북구",20,4,48,0,398,2386,5463,514
"부산","2021.01","사상구",27,19,98,0,568,2936,6361,467
"부산","2021.01","사하구",10,2,77,0,530,2870,7864,714
"부산","2021.01","서구",1,6,2,0,236,1659,4104,256
"부산","2021.01","수영구",5,0,99,0,325,1898,4130,511
"부산","2021.01","연제구",5,5,98,36,270,1657,4370,512
"부산","2021.01","영도구",6,4,43,0,215,1573,4319,279
"부산","2021.01","해운대구",13,0,85,1,564,3247,8054,1052
"부산","2021.01","부산기타",0,0,0,0,0,10,4,0
"부산","2021.02","금정구",12,8,75,3,371,2263,5235,431
"부산","2021.02","기장군",10,7,56,0,286,1629,3309,436
"부산","2021.02","남구",3,10,20,0,504,2660,6959,746
"부산","2021.02","동구",8,29,39,1,226,961,2918,246
"부산","2021.02","동래구",5,1,72,0,422,2361,5376,617
"부산","2021.02","부산진구",17,23,90,2,603,5905,10132,1038
"부산","2021.02","북구",20,4,51,0,397,2378,5461,514
"부산","2021.02","사상구",27,19,98,0,575,2930,6377,469
"부산","2021.02","사하구",10,2,76,0,529,2871,7883,719
"부산","2021.02","서구",1,6,2,0,233,1660,4107,257
"부산","2021.02","수영구",5,0,98,0,322,1893,4153,503
"부산","2021.02","연제구",5,5,98,36,266,1657,4378,517
"부산","2021.02","영도구",6,4,43,0,210,1568,4316,277
"부산","2021.02","해운대구",13,0,85,1,558,3242,8057,1073
"부산","2021.02","부산기타",0,0,0,0,0,10,4,0
"부산","2021.03","금정구",12,8,74,3,373,2254,5271,429
"부산","2021.03","기장군",10,7,56,0,286,1633,3336,425
"부산","2021.03","남구",3,10,20,0,502,2658,6948,747
"부산","2021.03","동구",8,29,39,1,226,959,2922,245
"부산","2021.03","동래구",5,1,72,0,420,2352,5387,623
"부산","2021.03","부산진구",17,23,90,2,616,5900,10177,1052
"부산","2021.03","북구",20,4,50,0,399,2375,5496,534
"부산","2021.03","사상구",27,19,97,0,562,2930,6374,481
"부산","2021.03","사하구",10,2,75,0,519,2861,7871,731
"부산","2021.03","서구",1,6,2,0,224,1664,4087,270
"부산","2021.03","수영구",5,0,98,0,319,1888,4180,506
"부산","2021.03","연제구",5,5,95,36,265,1659,4361,514
"부산","2021.03","영도구",6,4,44,0,205,1567,4322,273
"부산","2021.03","해운대구",13,0,85,1,560,3248,8069,1073
"부산","2021.03","부산기타",0,0,0,0,0,10,4,0
"부산","2021.04","금정구",12,8,74,3,386,2272,5271,449
"부산","2021.04","기장군",10,7,58,0,284,1644,3361,444
"부산","2021.04","남구",3,10,21,0,502,2660,6995,771
"부산","2021.04","동구",6,29,39,1,221,970,2935,253
"부산","2021.04","동래구",5,1,72,0,423,2373,5404,638
"부산","2021.04","부산진구",17,23,90,1,614,5935,10233,1096
"부산","2021.04","북구",20,4,50,1,405,2410,5510,553
"부산","2021.04","사상구",26,19,96,0,574,2972,6408,502
"부산","2021.04","사하구",10,2,75,0,525,2904,7916,752
"부산","2021.04","서구",1,6,2,0,223,1670,4112,276
"부산","2021.04","수영구",5,1,98,0,317,1896,4208,523
"부산","2021.04","연제구",5,5,95,36,270,1668,4358,523
"부산","2021.04","영도구",6,4,44,0,199,1588,4331,277
"부산","2021.04","해운대구",13,0,85,1,560,3290,8091,1100
"부산","2021.04","부산기타",0,0,0,0,0,10,4,0
"부산","2021.05","금정구",12,8,74,2,380,2276,5296,451
"부산","2021.05","기장군",10,7,58,0,286,1652,3370,461
"부산","2021.05","남구",3,10,21,0,507,2674,6996,784
"부산","2021.05","동구",6,29,39,1,219,971,2952,251
"부산","2021.05","동래구",5,1,72,0,423,2367,5417,648
"부산","2021.05","부산진구",17,23,90,1,606,5921,10247,1114
"부산","2021.05","북구",20,4,50,1,405,2426,5507,557
"부산","2021.05","사상구",26,19,96,0,567,2958,6419,513
"부산","2021.05","사하구",10,2,75,2,526,2922,7957,770
"부산","2021.05","서구",1,6,2,0,223,1679,4088,273
"부산","2021.05","수영구",5,1,98,0,317,1903,4227,526
"부산","2021.05","연제구",5,5,95,36,267,1668,4361,543
"부산","2021.05","영도구",6,4,44,0,198,1595,4350,288
"부산","2021.05","해운대구",13,0,84,1,554,3306,8137,1092
"부산","2021.05","부산기타",0,0,0,0,0,10,4,0
"부산","2021.06","금정구",12,8,74,2,380,2276,5296,451
"부산","2021.06","기장군",10,7,58,0,286,1652,3370,461
"부산","2021.06","남구",3,10,21,0,507,2674,6996,784
"부산","2021.06","동구",6,29,39,1,219,971,2952,251
"부산","2021.06","동래구",5,1,72,0,423,2367,5417,648
"부산","2021.06","부산진구",17,23,90,1,606,5921,10247,1114
"부산","2021.06","북구",20,4,50,1,405,2426,5507,557
"부산","2021.06","사상구",26,19,96,0,567,2958,6419,513
